sample	tag	treatment	site	species	condition	treated	month	year	tabled	GenBank accession
MK48-5-2627-HD-B	2627	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	65777	
MK48-5-2630-H-A	2630	resistant	MK48-5	MCAV	H	NO	May	2021	13805	
MK48-5-2630-H-B	2630	resistant	MK48-5	MCAV	H	NO	Sept	2021	90811	
MK48-5-2632-DD-B	2632	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	82359	
MK48-5-2632-HD-B	2632	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	92958	
MK48-5-2636-DD-B	2636	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	52780	
MK48-5-2636-HD-B	2636	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	58366	
MK48-5-2637-DD-B	2637	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	49332	
MK48-5-2637-HD-B	2637	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	48048	
MK48-5-2638-DD-B	2638	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	24023	
MK48-5-2638-HD-B	2638	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	52425	
MK48-5-2639-DD-A	2639	control paste and bag	MK48-5	CNAT	DD	NO	May	2021	50130	
MK48-5-2639-HD-A	2639	control paste and bag	MK48-5	CNAT	HD	NO	May	2021	44759	
MK48-5-2641-DD-B	2641	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	26178	
MK48-5-2641-HD-B	2641	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	23302	
MK48-5-2642-DD-B	2642	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	26542	
MK48-5-2642-HD-B	2642	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	16688	
MK48-5-2644-DD-B	2644	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	61799	
MK48-5-2644-HD-B	2644	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	64645	
MK48-5-2649-DD-B	2649	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	5079	
MK48-5-2649-HD-B	2649	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	14959	
MK48-5-2653-DD-B	2653	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	17270	
MK48-5-2653-HD-A	2653	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	3475	
MK48-5-2653-HD-B	2653	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	76111	
MK48-5-2654-DD-A	2654	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	42131	
MK48-5-2654-HD-A	2654	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	2165	
MK48-5-2654-HH-B	2654	control paste and bag	MK48-5	MCAV	HH	NO	Sept	2021	68499	
MK48-5-2655-DD-A	2655	none	MK48-5	MCAV	DD	NO	May	2021	34400	
MK48-5-2655-HD-A	2655	none	MK48-5	MCAV	HD	NO	May	2021	5411	
MK48-5-2655-HH-B	2655	none	MK48-5	MCAV	HH	NO	Sept	2021	89891	
MK48-5-2656-DD-A	2656	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	23298	
MK48-5-2656-HD-A	2656	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	7787	
MK48-5-2656-HH-B	2656	probiotic paste and bag	MK48-5	MCAV	HH	YES	Sept	2021	84525	
MK48-5-2657-DD-B	2657	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	35850	
MK48-5-2657-HD-B	2657	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	4935	
MK48-5-2658-DD-B	2658	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	47322	
MK48-5-2658-HD-B	2658	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	27386	
MK48-5-2660-DD-A	2660	probiotic paste and bag	MK48-5	CNAT	DD	YES	May	2021	39371	
MK48-5-2660-HD-A	2660	probiotic paste and bag	MK48-5	CNAT	HD	YES	May	2021	36773	
MK48-5-2660-HH-B	2660	probiotic paste and bag	MK48-5	CNAT	HH	YES	Sept	2021	18564	
MK48-5-2664-DD-B	2664	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	46127	
MK48-5-2664-HD-B	2664	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	30955	
MK48-5-2665-DD-B	2665	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	24045	
MK48-5-2665-HD-B	2665	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	26878	
MK48-5-2666-DD-A	2666	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	19132	
MK48-5-2666-HD-A	2666	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	35749	
MK48-5-2667-DD-A	2667	control paste and bag	MK48-5	CNAT	DD	NO	May	2021	23423	
MK48-5-2667-DD-B	2667	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	37957	
MK48-5-2667-HD-A	2667	control paste and bag	MK48-5	CNAT	HD	NO	May	2021	21235	
MK48-5-2667-HD-B	2667	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	43597	
MK48-5-2668-DD-A	2668	probiotic paste and bag	MK48-5	CNAT	DD	YES	May	2021	37624	
MK48-5-2668-HD-A	2668	probiotic paste and bag	MK48-5	CNAT	HD	YES	May	2021	48044	
MK48-5-2668-HH-B	2668	probiotic paste and bag	MK48-5	CNAT	HH	YES	Sept	2021	29883	
MK48-5-2669-DD-A	2669	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	52099	
MK48-5-2669-HD-A	2669	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	36225	
MK48-5-2670-DD-A	2670	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	24596	
MK48-5-2670-HD-A	2670	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	21007	
MK48-5-2670-HH-B	2670	control paste and bag	MK48-5	MCAV	HH	NO	Sept	2021	13895	
MK48-5-2671-DD-A	2671	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	45909	
MK48-5-2671-DD-B	2671	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	37312	
MK48-5-2671-HD-A	2671	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	5648	
MK48-5-2671-HD-B	2671	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	43639	
MK48-5-2676-DD-A	2676	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	18455	
MK48-5-2676-DD-B	2676	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	21838	
MK48-5-2676-HD-A	2676	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	14910	
MK48-5-2676-HD-B	2676	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	26182	
MK48-5-2677-DD-A	2677	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	38876	
MK48-5-2677-DD-B	2677	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	40899	
MK48-5-2677-HD-A	2677	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	15187	
MK48-5-2677-HD-B	2677	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	42090	
MK48-5-2678-DD-A	2678	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	12892	
MK48-5-2678-HD-A	2678	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	8937	
MK48-5-2679-DD-A	2679	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	6639	
MK48-5-2679-DD-B	2679	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	48688	
MK48-5-2679-HD-A	2679	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	9941	
MK48-5-2679-HD-B	2679	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	69696	
MK48-5-2680-DD-A	2680	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	13458	
MK48-5-2680-DD-B	2680	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	54016	
MK48-5-2680-HD-A	2680	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	2300	
MK48-5-2680-HD-B	2680	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	83330	
MK48-5-2681-DD-B	2681	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	21447	
MK48-5-2681-HD-B	2681	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	28588	
MK48-5-2686-DD-A	2686	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	14649	
MK48-5-2686-DD-B	2686	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	35935	
MK48-5-2686-HD-A	2686	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	11339	
MK48-5-2686-HD-B	2686	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	52049	
MK48-5-2687-DD-A	2687	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	37179	
MK48-5-2687-HD-A	2687	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	1547	
MK48-5-2692-DD-B	2692	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	24324	
MK48-5-2692-HD-B	2692	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	25904	
MK48-5-2696-DD-B	2696	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	23452	
MK48-5-2696-HD-B	2696	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	40278	
MK48-5-2700-DD-A	2700	probiotic paste	MK48-5	CNAT	DD	YES	May	2021	22655	
MK48-5-2700-HD-A	2700	probiotic paste	MK48-5	CNAT	HD	YES	May	2021	18491	
MK48-5-SW1	seawater	seawater	MK48-5	seawater	seawater	seawater	Sept	2021	1119	
MK48-5-SW2	seawater	seawater	MK48-5	seawater	seawater	seawater	Sept	2021	17211	
